date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2,PD_M0,PD_M1,PD_M2
2015-01-04,Brazil,207.97,0.0255,631.8961,792.7785975636025,0.1567486591084053,1349.0322534193394,0.0921161388639548,True,1201.2822830703976,0.0935656059078235,True,-0.1546637848074127,1349.0038244940774,0.119617863414389,True,8.155143423832989,Exporter,1.0,4.198043201186093,3.5753605018183983,3.1783525226716107,1.346156393095856e-05,0.0001748728130715557,0.0007405727323457429
2015-01-11,Brazil,201.92,0.0255,631.8961,812.0651720739768,0.1582783378471831,1368.3187941250098,0.09393501973879,True,1193.616850167028,0.0953916973569981,True,-0.1821262178680968,1368.2947964299046,0.1198847665550622,True,7.705557631254091,Exporter,1.0,4.180310320990116,3.472861549297175,3.223647267242556,1.4555577549194666e-05,0.0002574704594177242,0.000632845995963587
2015-01-18,Brazil,205.65,0.0255,631.8961,814.9058302067671,0.1582031027271592,1371.159461145336,0.0940235940967939,True,1215.5140390182632,0.0955615906169981,True,-0.1606527169838928,1371.129294098919,0.1221260828029276,True,8.384938910883598,Exporter,1.0,4.186038495038569,3.551382720839874,3.1670975868285707,1.4193261341583263e-05,0.000191606367213457,0.0007698432045838068
2015-01-25,Brazil,193.65,0.0255,631.8961,827.9344133303866,0.1567436863842734,1384.18812587715,0.0937546262896227,True,1217.1004452478908,0.0952899573284123,True,-0.1715231364197304,1384.1611013897348,0.1222569157294934,True,8.506863620477713,Exporter,1.0,4.24376054299033,3.5682357736370482,3.198018796369496,1.0990244979799508e-05,0.00017969651766727734,0.000691876303417197
2015-02-01,Brazil,212.77,0.022,622.0884000000001,803.9977106591449,0.1576608838858471,1361.2853903498917,0.0931176503541219,True,1207.4278071766412,0.0946947987229605,True,-0.1599159595464555,1361.2517104627211,0.1219916005651105,True,8.60907893308385,Exporter,1.0,4.1851701242019095,3.545543697104345,3.1375764602982286,1.424763035585809e-05,0.00019590201021772589,0.0008517541845415211
2015-02-08,Brazil,229.48,0.022,622.0884000000001,775.0770846702505,0.1619077560943059,1332.364416669883,0.0941877225173026,True,1206.1519036397438,0.0958305219837629,True,-0.1326931530251255,1332.3113650183186,0.1237042865824785,True,8.831137734961025,Exporter,1.0,4.033280810428369,3.49606565055991,3.01264561426845,2.7501742696066752e-05,0.00023608625724872145,0.0012949057771210507
2015-02-15,Brazil,235.35,0.022,622.0884000000001,760.8432198037207,0.1630445784095948,1318.130389676487,0.0941128795854002,True,1246.3447890834002,0.0962003861540574,True,-0.0746652334773636,1318.0797989825694,0.1219284109872421,True,8.28998791264736,Exporter,1.0,3.9856168266921954,3.634185747768086,3.021134315502369,3.365252566217273e-05,0.00013942995713891592,0.001259148115667828
2015-02-22,Brazil,235.89,0.022,622.0884000000001,751.9794037779224,0.1625423693515061,1309.26658621119,0.0933577437316756,True,1222.3235901395344,0.0954637956068577,True,-0.091617535684517,1309.2178949291058,0.1207111687007862,True,8.128638703411497,Exporter,1.0,3.987228912711038,3.572710242999782,3.0293418482295,3.3424759614951395e-05,0.00017665281255215313,0.0012254359335636693
2015-03-01,Brazil,235.88,0.0233999999999999,626.0114799999998,750.0659646632536,0.1624473425746369,1306.955670791249,0.0932303044186439,True,1231.019336491014,0.0953624079378201,True,-0.0798101550574809,1306.903643031967,0.1212118639224658,True,8.32346641060847,Exporter,1.0,3.987912702483052,3.6133259175763333,3.011816002965738,3.332859061279916e-05,0.00015114716859206503,0.0012984497619687196
2015-03-08,Brazil,253.64,0.0233999999999999,626.0114799999998,695.4889980525287,0.1793440435959083,1252.373365202173,0.0996051489377784,True,1180.420446561827,0.101604916227758,True,-0.07889060932975,1252.2527107610126,0.1249180939876582,True,7.584145071576028,Exporter,1.0,3.5273453143731692,3.1930577807980463,2.7613653485517196,0.00020987447198593146,0.0007038738741116396,0.002878012315776194
